asset_id,creator,total,tx_type,block
722374119,WWXXC6E72APSE4326WQXLN4HLJOIRCHJH2G5WDUQKDKBCUX6NJW6ZS75JU,1,acfg,20769493
722373928,WWXXC6E72APSE4326WQXLN4HLJOIRCHJH2G5WDUQKDKBCUX6NJW6ZS75JU,1,acfg,20769489
722373754,WWXXC6E72APSE4326WQXLN4HLJOIRCHJH2G5WDUQKDKBCUX6NJW6ZS75JU,1,acfg,20769485
722373755,7E6BSRDKG6VWY7MCPPARLG7UILN55TELH2DMLIMEWXAAKVEPJJAXKXOC6M,1,acfg,20769485
722373587,WWXXC6E72APSE4326WQXLN4HLJOIRCHJH2G5WDUQKDKBCUX6NJW6ZS75JU,1,acfg,20769481
722373398,WWXXC6E72APSE4326WQXLN4HLJOIRCHJH2G5WDUQKDKBCUX6NJW6ZS75JU,1,acfg,20769476
722373239,WWXXC6E72APSE4326WQXLN4HLJOIRCHJH2G5WDUQKDKBCUX6NJW6ZS75JU,1,acfg,20769473
722373050,WWXXC6E72APSE4326WQXLN4HLJOIRCHJH2G5WDUQKDKBCUX6NJW6ZS75JU,1,acfg,20769468
722372895,WWXXC6E72APSE4326WQXLN4HLJOIRCHJH2G5WDUQKDKBCUX6NJW6ZS75JU,1,acfg,20769465
722372768,WWXXC6E72APSE4326WQXLN4HLJOIRCHJH2G5WDUQKDKBCUX6NJW6ZS75JU,1,acfg,20769461
722372620,WWXXC6E72APSE4326WQXLN4HLJOIRCHJH2G5WDUQKDKBCUX6NJW6ZS75JU,1,acfg,20769457
722372474,WWXXC6E72APSE4326WQXLN4HLJOIRCHJH2G5WDUQKDKBCUX6NJW6ZS75JU,1,acfg,20769453
722372341,WWXXC6E72APSE4326WQXLN4HLJOIRCHJH2G5WDUQKDKBCUX6NJW6ZS75JU,1,acfg,20769449
722372202,WWXXC6E72APSE4326WQXLN4HLJOIRCHJH2G5WDUQKDKBCUX6NJW6ZS75JU,1,acfg,20769445
722372181,W2UZJKRJ4VICREYM5KM5LCKEADMSJGSWASJ6MACPWFWT3PT6RDKZ32TQ5E,1,acfg,20769444
722372020,WWXXC6E72APSE4326WQXLN4HLJOIRCHJH2G5WDUQKDKBCUX6NJW6ZS75JU,1,acfg,20769441
722371858,WWXXC6E72APSE4326WQXLN4HLJOIRCHJH2G5WDUQKDKBCUX6NJW6ZS75JU,1,acfg,20769437
722371734,WWXXC6E72APSE4326WQXLN4HLJOIRCHJH2G5WDUQKDKBCUX6NJW6ZS75JU,1,acfg,20769432
722371590,WWXXC6E72APSE4326WQXLN4HLJOIRCHJH2G5WDUQKDKBCUX6NJW6ZS75JU,1,acfg,20769429
722371431,WWXXC6E72APSE4326WQXLN4HLJOIRCHJH2G5WDUQKDKBCUX6NJW6ZS75JU,1,acfg,20769425
722371289,WWXXC6E72APSE4326WQXLN4HLJOIRCHJH2G5WDUQKDKBCUX6NJW6ZS75JU,1,acfg,20769421
722371116,WWXXC6E72APSE4326WQXLN4HLJOIRCHJH2G5WDUQKDKBCUX6NJW6ZS75JU,1,acfg,20769417
722371011,WWXXC6E72APSE4326WQXLN4HLJOIRCHJH2G5WDUQKDKBCUX6NJW6ZS75JU,1,acfg,20769413
722370848,WWXXC6E72APSE4326WQXLN4HLJOIRCHJH2G5WDUQKDKBCUX6NJW6ZS75JU,1,acfg,20769409
722370669,WWXXC6E72APSE4326WQXLN4HLJOIRCHJH2G5WDUQKDKBCUX6NJW6ZS75JU,1,acfg,20769405
722370541,WWXXC6E72APSE4326WQXLN4HLJOIRCHJH2G5WDUQKDKBCUX6NJW6ZS75JU,1,acfg,20769401
722370383,WWXXC6E72APSE4326WQXLN4HLJOIRCHJH2G5WDUQKDKBCUX6NJW6ZS75JU,1,acfg,20769397
722370239,WWXXC6E72APSE4326WQXLN4HLJOIRCHJH2G5WDUQKDKBCUX6NJW6ZS75JU,1,acfg,20769393
722370039,WWXXC6E72APSE4326WQXLN4HLJOIRCHJH2G5WDUQKDKBCUX6NJW6ZS75JU,1,acfg,20769389
722369873,WWXXC6E72APSE4326WQXLN4HLJOIRCHJH2G5WDUQKDKBCUX6NJW6ZS75JU,1,acfg,20769385
722369733,WWXXC6E72APSE4326WQXLN4HLJOIRCHJH2G5WDUQKDKBCUX6NJW6ZS75JU,1,acfg,20769381
722369698,2QYIXDPZXZCEEPB5EYCB6KOTSWMG65XV52DLEWKLI7YA6IHS2MW4OPK6ZI,1,acfg,20769379
722369597,WWXXC6E72APSE4326WQXLN4HLJOIRCHJH2G5WDUQKDKBCUX6NJW6ZS75JU,1,acfg,20769377
722369426,WWXXC6E72APSE4326WQXLN4HLJOIRCHJH2G5WDUQKDKBCUX6NJW6ZS75JU,1,acfg,20769373
722369300,WWXXC6E72APSE4326WQXLN4HLJOIRCHJH2G5WDUQKDKBCUX6NJW6ZS75JU,1,acfg,20769369
722369149,WWXXC6E72APSE4326WQXLN4HLJOIRCHJH2G5WDUQKDKBCUX6NJW6ZS75JU,1,acfg,20769365
722369056,WWXXC6E72APSE4326WQXLN4HLJOIRCHJH2G5WDUQKDKBCUX6NJW6ZS75JU,1,acfg,20769361
722369013,UQQ62H4FENWJAGUIDHM36J7G2CIA33WJTPDBY3XFNDT2PQRMQFWRC2BJTI,1,acfg,20769360
722368905,WWXXC6E72APSE4326WQXLN4HLJOIRCHJH2G5WDUQKDKBCUX6NJW6ZS75JU,1,acfg,20769356
722368790,UQQ62H4FENWJAGUIDHM36J7G2CIA33WJTPDBY3XFNDT2PQRMQFWRC2BJTI,1,acfg,20769354
722368748,WWXXC6E72APSE4326WQXLN4HLJOIRCHJH2G5WDUQKDKBCUX6NJW6ZS75JU,1,acfg,20769353
722368654,HYI3QVNAPEM2GP3C7ZBNZWXHHUPO6IFCXOZ2E73SCAWYR5IMW5HCVZ3Y6E,1,acfg,20769350
722368655,HYI3QVNAPEM2GP3C7ZBNZWXHHUPO6IFCXOZ2E73SCAWYR5IMW5HCVZ3Y6E,1,acfg,20769350
722368618,WWXXC6E72APSE4326WQXLN4HLJOIRCHJH2G5WDUQKDKBCUX6NJW6ZS75JU,1,acfg,20769349
722368619,UQQ62H4FENWJAGUIDHM36J7G2CIA33WJTPDBY3XFNDT2PQRMQFWRC2BJTI,1,acfg,20769349
722368481,WWXXC6E72APSE4326WQXLN4HLJOIRCHJH2G5WDUQKDKBCUX6NJW6ZS75JU,1,acfg,20769345
722368455,UQQ62H4FENWJAGUIDHM36J7G2CIA33WJTPDBY3XFNDT2PQRMQFWRC2BJTI,1,acfg,20769344
722368345,WWXXC6E72APSE4326WQXLN4HLJOIRCHJH2G5WDUQKDKBCUX6NJW6ZS75JU,1,acfg,20769341
722368240,UQQ62H4FENWJAGUIDHM36J7G2CIA33WJTPDBY3XFNDT2PQRMQFWRC2BJTI,1,acfg,20769338
722368171,WWXXC6E72APSE4326WQXLN4HLJOIRCHJH2G5WDUQKDKBCUX6NJW6ZS75JU,1,acfg,20769337
722368020,WWXXC6E72APSE4326WQXLN4HLJOIRCHJH2G5WDUQKDKBCUX6NJW6ZS75JU,1,acfg,20769333
722367908,WWXXC6E72APSE4326WQXLN4HLJOIRCHJH2G5WDUQKDKBCUX6NJW6ZS75JU,1,acfg,20769329
722367736,WWXXC6E72APSE4326WQXLN4HLJOIRCHJH2G5WDUQKDKBCUX6NJW6ZS75JU,1,acfg,20769324
722367554,WWXXC6E72APSE4326WQXLN4HLJOIRCHJH2G5WDUQKDKBCUX6NJW6ZS75JU,1,acfg,20769321
722367362,WWXXC6E72APSE4326WQXLN4HLJOIRCHJH2G5WDUQKDKBCUX6NJW6ZS75JU,1,acfg,20769316
722367199,WWXXC6E72APSE4326WQXLN4HLJOIRCHJH2G5WDUQKDKBCUX6NJW6ZS75JU,1,acfg,20769312
722366999,WWXXC6E72APSE4326WQXLN4HLJOIRCHJH2G5WDUQKDKBCUX6NJW6ZS75JU,1,acfg,20769308
722366830,WWXXC6E72APSE4326WQXLN4HLJOIRCHJH2G5WDUQKDKBCUX6NJW6ZS75JU,1,acfg,20769305
722366668,WWXXC6E72APSE4326WQXLN4HLJOIRCHJH2G5WDUQKDKBCUX6NJW6ZS75JU,1,acfg,20769301
722366485,WWXXC6E72APSE4326WQXLN4HLJOIRCHJH2G5WDUQKDKBCUX6NJW6ZS75JU,1,acfg,20769297
722366291,WWXXC6E72APSE4326WQXLN4HLJOIRCHJH2G5WDUQKDKBCUX6NJW6ZS75JU,1,acfg,20769293
722366112,WWXXC6E72APSE4326WQXLN4HLJOIRCHJH2G5WDUQKDKBCUX6NJW6ZS75JU,1,acfg,20769289
