asset_id,creator,total,tx_type,block
720084365,7GUKNRILE2NEIKUUEVRHRJR4SINWMJMBCZZFC27DKENR36E2X6RGQQ73LQ,1,acfg,20725669
720084101,N2NOGRN34SUNNHPYRHPK562KKV43AKZF2TEZCFSSLXABAQVTPJFYAMD53M,1,acfg,20725663
720083658,N2NOGRN34SUNNHPYRHPK562KKV43AKZF2TEZCFSSLXABAQVTPJFYAMD53M,1,acfg,20725654
720083606,7GUKNRILE2NEIKUUEVRHRJR4SINWMJMBCZZFC27DKENR36E2X6RGQQ73LQ,1,acfg,20725652
720083201,N2NOGRN34SUNNHPYRHPK562KKV43AKZF2TEZCFSSLXABAQVTPJFYAMD53M,1,acfg,20725645
720083025,7GUKNRILE2NEIKUUEVRHRJR4SINWMJMBCZZFC27DKENR36E2X6RGQQ73LQ,1,acfg,20725641
720082757,N2NOGRN34SUNNHPYRHPK562KKV43AKZF2TEZCFSSLXABAQVTPJFYAMD53M,1,acfg,20725636
720082268,N2NOGRN34SUNNHPYRHPK562KKV43AKZF2TEZCFSSLXABAQVTPJFYAMD53M,1,acfg,20725627
720082310,7GUKNRILE2NEIKUUEVRHRJR4SINWMJMBCZZFC27DKENR36E2X6RGQQ73LQ,1,acfg,20725627
720081782,7GUKNRILE2NEIKUUEVRHRJR4SINWMJMBCZZFC27DKENR36E2X6RGQQ73LQ,1,acfg,20725616
720081817,N2NOGRN34SUNNHPYRHPK562KKV43AKZF2TEZCFSSLXABAQVTPJFYAMD53M,1,acfg,20725616
720081334,HYI3QVNAPEM2GP3C7ZBNZWXHHUPO6IFCXOZ2E73SCAWYR5IMW5HCVZ3Y6E,1,acfg,20725610
720081335,HYI3QVNAPEM2GP3C7ZBNZWXHHUPO6IFCXOZ2E73SCAWYR5IMW5HCVZ3Y6E,1,acfg,20725610
720081194,N2NOGRN34SUNNHPYRHPK562KKV43AKZF2TEZCFSSLXABAQVTPJFYAMD53M,1,acfg,20725607
720080897,7GUKNRILE2NEIKUUEVRHRJR4SINWMJMBCZZFC27DKENR36E2X6RGQQ73LQ,1,acfg,20725602
720080477,N2NOGRN34SUNNHPYRHPK562KKV43AKZF2TEZCFSSLXABAQVTPJFYAMD53M,1,acfg,20725597
720080053,7GUKNRILE2NEIKUUEVRHRJR4SINWMJMBCZZFC27DKENR36E2X6RGQQ73LQ,1,acfg,20725588
720079997,N2NOGRN34SUNNHPYRHPK562KKV43AKZF2TEZCFSSLXABAQVTPJFYAMD53M,1,acfg,20725586
720079621,N2NOGRN34SUNNHPYRHPK562KKV43AKZF2TEZCFSSLXABAQVTPJFYAMD53M,1,acfg,20725577
720079397,7GUKNRILE2NEIKUUEVRHRJR4SINWMJMBCZZFC27DKENR36E2X6RGQQ73LQ,1,acfg,20725572
720079193,N2NOGRN34SUNNHPYRHPK562KKV43AKZF2TEZCFSSLXABAQVTPJFYAMD53M,1,acfg,20725567
720079161,QHAJ5AZKDGZ3RYGYX46W6HX3NBJ6IDKLDA3X5UF25K3GUHDMSK3CU5ICK4,1,acfg,20725566
720078743,N2NOGRN34SUNNHPYRHPK562KKV43AKZF2TEZCFSSLXABAQVTPJFYAMD53M,1,acfg,20725557
720078522,7GUKNRILE2NEIKUUEVRHRJR4SINWMJMBCZZFC27DKENR36E2X6RGQQ73LQ,1,acfg,20725553
720078216,N2NOGRN34SUNNHPYRHPK562KKV43AKZF2TEZCFSSLXABAQVTPJFYAMD53M,1,acfg,20725548
720077801,7GUKNRILE2NEIKUUEVRHRJR4SINWMJMBCZZFC27DKENR36E2X6RGQQ73LQ,1,acfg,20725539
720077745,N2NOGRN34SUNNHPYRHPK562KKV43AKZF2TEZCFSSLXABAQVTPJFYAMD53M,1,acfg,20725538
720077584,H4IG6WSPCL7MZSW5SGSUAYXYHBXCIRRY6IGA4PGZ7MH5NJLKHBDDGHA2YY,1,acfg,20725534
720077390,N2NOGRN34SUNNHPYRHPK562KKV43AKZF2TEZCFSSLXABAQVTPJFYAMD53M,1,acfg,20725529
720076933,N2NOGRN34SUNNHPYRHPK562KKV43AKZF2TEZCFSSLXABAQVTPJFYAMD53M,1,acfg,20725519
720076467,N2NOGRN34SUNNHPYRHPK562KKV43AKZF2TEZCFSSLXABAQVTPJFYAMD53M,1,acfg,20725510
720075912,N2NOGRN34SUNNHPYRHPK562KKV43AKZF2TEZCFSSLXABAQVTPJFYAMD53M,1,acfg,20725501
720075765,EKGSX6ED6RM6N32VU525RW562DIJJUNQBVUQ3MMFLRXJF2OTJ5JBVECTSU,1,acfg,20725498
720075630,EKGSX6ED6RM6N32VU525RW562DIJJUNQBVUQ3MMFLRXJF2OTJ5JBVECTSU,1,acfg,20725495
720075446,EKGSX6ED6RM6N32VU525RW562DIJJUNQBVUQ3MMFLRXJF2OTJ5JBVECTSU,1,acfg,20725491
720075453,N2NOGRN34SUNNHPYRHPK562KKV43AKZF2TEZCFSSLXABAQVTPJFYAMD53M,1,acfg,20725491
720075394,JVE4BI34BVIOU5WORAZKWPZCP7HMXCPLGOPMTSWQRSPUPILW2TZZOSXJOI,1,acfg,20725490
720075097,EKGSX6ED6RM6N32VU525RW562DIJJUNQBVUQ3MMFLRXJF2OTJ5JBVECTSU,1,acfg,20725485
720074997,N2NOGRN34SUNNHPYRHPK562KKV43AKZF2TEZCFSSLXABAQVTPJFYAMD53M,1,acfg,20725482
720074704,7GUKNRILE2NEIKUUEVRHRJR4SINWMJMBCZZFC27DKENR36E2X6RGQQ73LQ,1,acfg,20725478
720074404,N2NOGRN34SUNNHPYRHPK562KKV43AKZF2TEZCFSSLXABAQVTPJFYAMD53M,1,acfg,20725473
720074225,ORCA3WHX7IST46NPCKZMPXNAZG5KTDCU3GSUHGI66I32P24II3U2ADNXMQ,1,acfg,20725469
720073937,7GUKNRILE2NEIKUUEVRHRJR4SINWMJMBCZZFC27DKENR36E2X6RGQQ73LQ,1,acfg,20725464
720073988,N2NOGRN34SUNNHPYRHPK562KKV43AKZF2TEZCFSSLXABAQVTPJFYAMD53M,1,acfg,20725464
720073489,N2NOGRN34SUNNHPYRHPK562KKV43AKZF2TEZCFSSLXABAQVTPJFYAMD53M,1,acfg,20725455
720072967,N2NOGRN34SUNNHPYRHPK562KKV43AKZF2TEZCFSSLXABAQVTPJFYAMD53M,1,acfg,20725446
720072768,BIIVXNJ6EXSBAHDGCNM45XVNLYTOAGXMPEKKSWQWITN6NJE5OZPYTJPWPM,1,acfg,20725443
720072317,N2NOGRN34SUNNHPYRHPK562KKV43AKZF2TEZCFSSLXABAQVTPJFYAMD53M,1,acfg,20725437
720071813,N2NOGRN34SUNNHPYRHPK562KKV43AKZF2TEZCFSSLXABAQVTPJFYAMD53M,1,acfg,20725427
720071398,UFOAAC6CYFIXOGGMAIPGWTOLKKFKLXFYY5Q5OJQSEF3RS52Y4LZF2W3BT4,1,acfg,20725419
720071285,N2NOGRN34SUNNHPYRHPK562KKV43AKZF2TEZCFSSLXABAQVTPJFYAMD53M,1,acfg,20725416
720070764,N2NOGRN34SUNNHPYRHPK562KKV43AKZF2TEZCFSSLXABAQVTPJFYAMD53M,1,acfg,20725407
720069706,N2NOGRN34SUNNHPYRHPK562KKV43AKZF2TEZCFSSLXABAQVTPJFYAMD53M,1,acfg,20725397
720069519,7GUKNRILE2NEIKUUEVRHRJR4SINWMJMBCZZFC27DKENR36E2X6RGQQ73LQ,1,acfg,20725393
720068255,N2NOGRN34SUNNHPYRHPK562KKV43AKZF2TEZCFSSLXABAQVTPJFYAMD53M,1,acfg,20725388
720067671,N2NOGRN34SUNNHPYRHPK562KKV43AKZF2TEZCFSSLXABAQVTPJFYAMD53M,1,acfg,20725377
720067072,N2NOGRN34SUNNHPYRHPK562KKV43AKZF2TEZCFSSLXABAQVTPJFYAMD53M,1,acfg,20725367
720066742,CRWGBWREXEHAL76O32CPWB43HYICWB5HV6LAA7IXJ6RD6VUIOQXP5KZYZ4,1,acfg,20725361
720066528,N2NOGRN34SUNNHPYRHPK562KKV43AKZF2TEZCFSSLXABAQVTPJFYAMD53M,1,acfg,20725357
720066446,QZWWSDFQA6PMVEZF6MTNXHKGLT7KOWG62SFU2W4XQOUK7ENDHDZUVRBCYU,10,acfg,20725355
720065483,CI6HIM5KV3MWWF5UZ4JM2FYKNWPNMBECFNVTTTBLMWL4INTDLAEV4IMGAU,1,acfg,20725348
720065145,CI6HIM5KV3MWWF5UZ4JM2FYKNWPNMBECFNVTTTBLMWL4INTDLAEV4IMGAU,1,acfg,20725347
720065440,N2NOGRN34SUNNHPYRHPK562KKV43AKZF2TEZCFSSLXABAQVTPJFYAMD53M,1,acfg,20725347
720064771,CI6HIM5KV3MWWF5UZ4JM2FYKNWPNMBECFNVTTTBLMWL4INTDLAEV4IMGAU,1,acfg,20725341
720064592,N2NOGRN34SUNNHPYRHPK562KKV43AKZF2TEZCFSSLXABAQVTPJFYAMD53M,1,acfg,20725337
720064515,CI6HIM5KV3MWWF5UZ4JM2FYKNWPNMBECFNVTTTBLMWL4INTDLAEV4IMGAU,1,acfg,20725336
720064222,CI6HIM5KV3MWWF5UZ4JM2FYKNWPNMBECFNVTTTBLMWL4INTDLAEV4IMGAU,1,acfg,20725331
720064039,N2NOGRN34SUNNHPYRHPK562KKV43AKZF2TEZCFSSLXABAQVTPJFYAMD53M,1,acfg,20725327
720063977,CI6HIM5KV3MWWF5UZ4JM2FYKNWPNMBECFNVTTTBLMWL4INTDLAEV4IMGAU,1,acfg,20725326
720063754,CI6HIM5KV3MWWF5UZ4JM2FYKNWPNMBECFNVTTTBLMWL4INTDLAEV4IMGAU,1,acfg,20725321
720063542,CI6HIM5KV3MWWF5UZ4JM2FYKNWPNMBECFNVTTTBLMWL4INTDLAEV4IMGAU,1,acfg,20725317
720063575,N2NOGRN34SUNNHPYRHPK562KKV43AKZF2TEZCFSSLXABAQVTPJFYAMD53M,1,acfg,20725317
720063303,CI6HIM5KV3MWWF5UZ4JM2FYKNWPNMBECFNVTTTBLMWL4INTDLAEV4IMGAU,1,acfg,20725312
720063083,N2NOGRN34SUNNHPYRHPK562KKV43AKZF2TEZCFSSLXABAQVTPJFYAMD53M,1,acfg,20725308
720063049,CI6HIM5KV3MWWF5UZ4JM2FYKNWPNMBECFNVTTTBLMWL4INTDLAEV4IMGAU,1,acfg,20725307
720062633,HYI3QVNAPEM2GP3C7ZBNZWXHHUPO6IFCXOZ2E73SCAWYR5IMW5HCVZ3Y6E,1,acfg,20725299
720062634,HYI3QVNAPEM2GP3C7ZBNZWXHHUPO6IFCXOZ2E73SCAWYR5IMW5HCVZ3Y6E,1,acfg,20725299
720062533,N2NOGRN34SUNNHPYRHPK562KKV43AKZF2TEZCFSSLXABAQVTPJFYAMD53M,1,acfg,20725297
720062101,CI6HIM5KV3MWWF5UZ4JM2FYKNWPNMBECFNVTTTBLMWL4INTDLAEV4IMGAU,1,acfg,20725292
720062028,CI6HIM5KV3MWWF5UZ4JM2FYKNWPNMBECFNVTTTBLMWL4INTDLAEV4IMGAU,1,acfg,20725290
720061953,N2NOGRN34SUNNHPYRHPK562KKV43AKZF2TEZCFSSLXABAQVTPJFYAMD53M,1,acfg,20725288
720061821,HYI3QVNAPEM2GP3C7ZBNZWXHHUPO6IFCXOZ2E73SCAWYR5IMW5HCVZ3Y6E,1,acfg,20725285
720061822,HYI3QVNAPEM2GP3C7ZBNZWXHHUPO6IFCXOZ2E73SCAWYR5IMW5HCVZ3Y6E,1,acfg,20725285
720061724,CI6HIM5KV3MWWF5UZ4JM2FYKNWPNMBECFNVTTTBLMWL4INTDLAEV4IMGAU,1,acfg,20725283
720061536,N2NOGRN34SUNNHPYRHPK562KKV43AKZF2TEZCFSSLXABAQVTPJFYAMD53M,1,acfg,20725279
720061479,CI6HIM5KV3MWWF5UZ4JM2FYKNWPNMBECFNVTTTBLMWL4INTDLAEV4IMGAU,1,acfg,20725278
720061385,ORCA3WHX7IST46NPCKZMPXNAZG5KTDCU3GSUHGI66I32P24II3U2ADNXMQ,1,acfg,20725276
720061295,CI6HIM5KV3MWWF5UZ4JM2FYKNWPNMBECFNVTTTBLMWL4INTDLAEV4IMGAU,1,acfg,20725273
720061161,ORCA3WHX7IST46NPCKZMPXNAZG5KTDCU3GSUHGI66I32P24II3U2ADNXMQ,1,acfg,20725271
720061062,N2NOGRN34SUNNHPYRHPK562KKV43AKZF2TEZCFSSLXABAQVTPJFYAMD53M,1,acfg,20725268
720061075,CI6HIM5KV3MWWF5UZ4JM2FYKNWPNMBECFNVTTTBLMWL4INTDLAEV4IMGAU,1,acfg,20725268
720060934,ORCA3WHX7IST46NPCKZMPXNAZG5KTDCU3GSUHGI66I32P24II3U2ADNXMQ,1,acfg,20725266
720060825,CI6HIM5KV3MWWF5UZ4JM2FYKNWPNMBECFNVTTTBLMWL4INTDLAEV4IMGAU,1,acfg,20725264
720060769,BIIVXNJ6EXSBAHDGCNM45XVNLYTOAGXMPEKKSWQWITN6NJE5OZPYTJPWPM,1,acfg,20725263
720060696,ORCA3WHX7IST46NPCKZMPXNAZG5KTDCU3GSUHGI66I32P24II3U2ADNXMQ,1,acfg,20725261
720060675,N2NOGRN34SUNNHPYRHPK562KKV43AKZF2TEZCFSSLXABAQVTPJFYAMD53M,1,acfg,20725260
720060682,BIIVXNJ6EXSBAHDGCNM45XVNLYTOAGXMPEKKSWQWITN6NJE5OZPYTJPWPM,1,acfg,20725260
720060609,CI6HIM5KV3MWWF5UZ4JM2FYKNWPNMBECFNVTTTBLMWL4INTDLAEV4IMGAU,1,acfg,20725259
720060317,ORCA3WHX7IST46NPCKZMPXNAZG5KTDCU3GSUHGI66I32P24II3U2ADNXMQ,1,acfg,20725256
